Count,Name,AN,AN-ANTA,AN-SL,FLOOR,HND,L.TOT,N°,N00,N01,OFFICE,TIP.COM,TIPO_PARETE,L.TOT.,L1,L2,L3,L4,L5,LV.0,LV.0_MANO,LV.0_NOTE,LV.1,LV.1_MANO,LV.1_NOTE,LV.2,LV.2_MANO,LV.2_NOTE,LV.3,LV.3_MANO,LV.3_NOTE,LV.4,LV.4_MANO,LV.4_NOTE,LV.5,LV.5_MANO,LV.5_NOTE,LV.6,LV.6_MANO,LV.6_NOTE,TAGLI
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-02,,,.,.,.,EL5,HB,S2G-41,2445.7553,603.2531,1809.2531,,,,H,SX,.,T012,I,.,T012,I,.,,,,,,,,,,L,DX,.,2
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-02,,,.,.,.,EL6,HB,S2G-41,898.0275,31.0000,478.0275,,,,L,SX,.,MR-POD,SX,.,T006,I,.,,,,,,,,,,H,DX,.,2
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-02,,,.,.,.,EL5,HB,S2G-41,3324.5031,831.2500,2493.2500,,,,H,SX,.,T012,I,.,T012,I,.,,,,,,,,,,H,DX,.,2
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-01,,,.,.,.,EL4,HB,S2G-41,1766.2437,420.2500,1260.2500,,,,H,SX,.,T006,I,.,T006,I,.,,,,,,,,,,H,DX,.,2
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-02,,,.,.,.,EL5,HB,S2G-41,1766.2437,505.9937,1345.9937,,,,H,SX,.,T006,I,.,T006,I,.,,,,,,,,,,H,DX,.,2
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-02,,,.,.,.,EL6,HA,S2G-41,2438.0000,415.0097,1219.0000,,,,H,SX,.,FORI M6 PASSO 381,I,.,T017-SUP,I,.,,,,,,,,,,H,DX,.,2
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-02,,,.,.,.,EL6,HA,S2G-41,814.0097,263.0097,367.0000,761.0300,,,H,SX,.,FORI M6 PASSO 381,I,.,T006-SUP,I,.,MR-POD,DX,.,,,,,,,L,DX,.,3
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-02,,,.,.,.,EL6,HA,S2G-41,898.0275,31.0000,170.0000,478.0275,,,L,SX,.,MR-POD,SX,.,FORI M6 PASSO 381,I,.,T006-SUP,I,.,,,,,,,H,DX,.,3
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-02,,,.,.,.,EL6,HB,S2G-41,2438.0000,1219.0000,,,,,H,SX,.,T017,I,.,,,,,,,,,,,,,H,DX,.,1
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-02,,,.,.,.,EL6,HB,S2G-41,814.0097,367.0000,761.0300,,,,H,SX,.,T006,I,.,MR-POD,DX,.,,,,,,,,,,L,DX,.,2
1,PF-CODIFICA-BLOCCO VERTICALI-R01,2864,.,.,14-HDL-03,.,.,V154,SENZA FERMAVETRI,.,EL17,MR-POD,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,2864,.,.,14-HDL-03,.,.,V099,SENZA FERMAVETRI - SENZA TRACCIAMENTO,.,EL12,MR-POD,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,2864,.,.,14-HDL-02,.,.,V154,SENZA FERMAVETRI,.,EL18,MR-POD,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,2864,.,.,14-HDL-01,.,.,V154,SENZA FERMAVETRI,.,EL20,MR-POD,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,2864,.,.,14-HDL-02,.,.,V154,SENZA FERMAVETRI,.,EL19,MR-POD,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-01,,,.,.,.,EL4,HB,S2G-41,2445.7584,636.5084,1842.5084,,,,L,SX,.,T012,I,.,T012,I,.,,,,,,,,,,H,DX,.,2
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-01,,,.,.,.,EL4,HB,S2G-41,3324.5000,831.2500,2493.2500,,,,H,SX,.,T012,I,.,T012,I,.,,,,,,,,,,H,DX,.,2
1,PF-CODIFICA-BLOCCO VERTICALI-R01,2864,.,.,14-HDL-01,.,.,V099,SENZA FERMAVETRI - SENZA TRACCIAMENTO,.,EL16,MR-POD,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,2864,.,.,14-HDL-03,.,.,V099,SENZA FERMAVETRI - SENZA TRACCIAMENTO,.,EL12,MR-POD,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,2864,.,.,14-HDL-01,.,.,V099,SENZA FERMAVETRI - SENZA TRACCIAMENTO,.,EL16,MR-POD,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-01,,,.,.,.,EL3,HB,S2G-41,814.0097,52.9796,447.0097,,,,L,SX,.,MR-POD,SX,.,T006,I,.,,,,,,,,,,H,DX,.,2
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-02,,,.,.,.,EL1,HA,2G(1SW),2284.4378,381.2239,871.7239,1412.7219,,,M1,SX,.,FORI M6 PASSO 381,I,.,M1,I,.,M1,I,.,,,,,,,M1,DX,.,3
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-01,,,.,.,.,EL2,HA,2G(1SW),3048.0004,381.2239,1524.0004,,,,M1,SX,.,FORI M6 PASSO 381,I,.,M1,I,.,,,,,,,,,,M1,DX,.,2
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-02,,,.,.,.,EL1,HA,2G(1SW),3048.0004,381.2239,1524.0004,,,,M1,SX,.,FORI M6 PASSO 381,I,.,M1,I,.,,,,,,,,,,M1,DX,.,2
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-02,,,.,.,.,EL5,HA,S2G-41,2445.7553,242.2515,432.7515,603.2531,813.7515,1809.2531,H,SX,.,FORI M6 PASSO 381,I,.,FORO DIAM 20 PASSANTE,I,.,FORO DIAM 20 PASSANTE,I,.,FORO DIAM 20 PASSANTE,I,.,T006-SUP,I,.,L,DX,.,5
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-02,,,.,.,FRESARE ANGOLO SX,EL1,HA,2G(1SW),3346.2799,284.0021,679.5038,822.2799,1122.2799,1822.2799,L,SX,.,MR-POD,SX,.,FORI M6 PASSO 381,I,.,PC,SX,.,Pmp,SX,.,PB,SX,.,M1,DX,.,5
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-01,,,.,.,.,EL2,HB,2G(1SW),3048.0004,762.0002,1524.0004,2286.0004,,,M1,SX,.,CBL,I,.,M1,I,.,CBL,I,.,,,,,,,M1,DX,.,3
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-02,,,.,.,FRESARE ANGOLO SX,EL1,HB,2G(1SW),822.2799,284.0021,568.1417,,,,L,SX,.,MR-POD,SX,.,CLB,I,.,,,,,,,,,,PC,DX,.,2
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-02,,,.,.,.,EL1,HB,2G(1SW),2284.4378,435.8619,871.7239,1412.7219,1848.5798,,M1,SX,.,CBL,I,.,M1,I,.,M1,I,.,CBL,I,.,,,,M1,DX,.,4
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-01,,,.,.,FRESARE ANGOLO DX,EL2,HA,2G(1SW),3346.2858,381.2239,1524.0004,2223.9993,2523.9993,3062.2774,M1,SX,.,FORI M6 PASSO 381,I,.,PB,DX,.,Pmp,DX,.,PC,DX,.,MR-POD,DX,.,L,DX,.,5
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-02,,,.,.,.,EL1,HB,2G(1SW),3048.0004,782.3505,1524.0004,2286.0004,,,M1,SX,.,CLB,I,.,M1,I,.,CBL,I,.,,,,,,,M1,DX,.,3
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-01,,,.,.,.,EL3,HA,S2G-41,2438.0000,117.9903,1219.0000,,,,H,SX,.,FORI M6 PASSO 381,I,.,T017-SUP,I,.,,,,,,,,,,H,DX,.,2
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-01,,,.,.,.,EL3,HA,S2G-41,898.0275,346.9903,420.0000,867.0275,,,H,SX,.,FORI M6 PASSO 381,I,.,T006-SUP,I,.,MR-POD,DX,.,,,,,,,L,DX,.,3
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-01,,,.,.,.,EL3,HA,S2G-41,814.0097,52.9796,170.0000,447.0097,,,L,SX,.,MR-POD,SX,.,FORI M6 PASSO 381,I,.,T006-SUP,I,.,,,,,,,H,DX,.,3
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-01,,,.,.,.,EL3,HB,S2G-41,2438.0000,1219.0000,,,,,H,SX,.,T017,I,.,,,,,,,,,,,,,H,DX,.,1
